time; n; mu_cfp; std_cfp; rawData_cfp 
59.16; 61; 60.6557; 48.8514; {100,100,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,0,100,0,100,0}
60.18; 61; 59.0164; 49.1803; {100,100,100,100,100,0,0,0,0,100,0,100,100,0,0,100,100,100,100,100,100,100,0,0,100,0,100,100,100,0,0,100,0,100,100,0,0,0,100,0,0,100,100,100,0,100,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
61.2; 57; 56.1404; 49.6215; {100,100,100,100,100,0,0,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,0,100,0,100,100,0,0,0,100,0,0,100,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
62.22; 55; 56.3636; 49.5934; {100,100,100,100,100,0,0,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,0,100,0,100,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
63.24; 54; 55.5556; 49.6904; {100,100,100,100,100,0,0,0,0,0,100,100,0,0,100,100,100,100,100,100,0,0,100,0,100,100,0,0,100,0,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
64.26; 51; 54.902; 49.7591; {100,100,100,100,100,0,0,0,0,100,100,0,0,100,100,100,100,0,0,100,0,100,100,0,0,100,0,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
65.28; 49; 53.0612; 49.9062; {100,100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,100,0,100,100,0,0,100,0,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
66.3; 47; 51.0638; 49.9887; {100,100,100,100,0,0,0,0,100,0,0,100,100,100,0,0,0,100,100,0,0,100,0,100,0,0,0,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,100,0,0}
67.32; 44; 52.2727; 49.9483; {100,100,100,100,0,0,0,0,100,0,100,100,100,0,0,0,100,100,0,100,0,100,0,0,0,100,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100}
68.34; 44; 47.7273; 49.9483; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100,0,0,100,100}
69.36; 48; 45.8333; 49.8261; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,100,0,0,100,100,0,0,0,100}
70.38; 47; 42.5532; 49.4423; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,0,0,100,100,0,0,0,0,0}
71.4; 50; 40; 48.9898; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0}
72.42; 50; 40; 48.9898; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100}
73.44; 53; 41.5094; 49.2738; {100,100,100,0,0,0,0,100,0,100,100,0,0,0,100,100,0,100,0,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,100,100}
74.46; 58; 43.1034; 49.5221; {100,100,100,0,0,0,0,0,100,100,0,0,0,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,100,0,100,0,100,100,0,100,0,100,100,0,100}
75.48; 58; 46.5517; 49.881; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,100,0}
76.5; 58; 48.2759; 49.9703; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,0,100,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,100,0,0,100}
77.52; 56; 48.2143; 49.9681; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,0,0,100,0,0}
78.54; 56; 48.2143; 49.9681; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,0,100,0,100,100,100,100,0,0,100,0,0}
79.56; 56; 50; 50; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,100,0,100,100,100,100,0,0,100,0,0,100}
80.58; 55; 49.0909; 49.9917; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,100}
81.6; 53; 49.0566; 49.9911; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100}
82.62; 53; 49.0566; 49.9911; {100,100,100,0,0,0,0,0,100,100,0,0,100,100,0,100,0,0,0,100,100,0,100,100,100,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100}
