time; n; mu_cfp; std_cfp; rawData_cfp 
69.36; 44; 77.2727; 41.907; {100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100}
70.38; 45; 77.7778; 41.574; {100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100}
71.4; 50; 78; 41.4246; {100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100}
72.42; 55; 80; 40; {100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,100,100}
73.44; 56; 78.5714; 41.0326; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100}
74.46; 62; 79.0323; 40.7078; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100}
75.48; 64; 76.5625; 42.3607; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,0,0,100}
76.5; 65; 76.9231; 42.1325; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,100,0,100,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,0,0,100,100}
77.52; 62; 74.1935; 43.757; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,100,0,0,100,100,0}
78.54; 63; 74.6032; 43.528; {100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,100,0,0,100,100,0,100}
