time; n; mu_gfp; std_gfp; rawData_gfp 
932.28; 210; 58.0952; 49.3403; {0,100,0,100,0,0,100,100,0,100,0,100,0,100,100,100,0,0,0,100,100,100,100,100,0,0,0,0,100,100,100,0,100,100,0,100,100,100,100,0,100,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,0,100,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,100,0,100,0,0,100,100,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,100,0,100,0,0,100,0,0,100,0,100,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,100,0,100,100,100,0,0,0,100,100,100,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,100,0,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100}
933.3; 211; 58.2938; 49.3073; {0,100,0,100,0,0,100,100,0,100,0,100,0,100,100,100,0,0,0,100,100,100,100,100,0,0,0,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,0,100,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0,0,100,100,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0,100,0,0,100,0,100,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,100,0,100,0,100,0,100,100,0,100,0,100,100,100,0,100,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,100,0,100,0,100,100,100,100}
934.32; 207; 58.4541; 49.2801; {0,100,0,100,0,0,100,100,0,100,0,100,0,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0,0,100,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,100,0,100,0,100,0,100,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,100,100,0,100,0,100,100,100,100,100,100,100,100,0,100,0,100,0}
935.34; 207; 58.4541; 49.2801; {0,100,0,100,0,0,100,100,0,100,100,0,100,100,100,0,0,100,100,100,100,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0,100,0,0,100,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,0,100,0,100,0,100,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,0,100,100,0,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,0,0}
936.36; 206; 57.2816; 49.467; {0,100,0,100,0,0,100,100,0,100,100,0,100,100,0,0,100,100,100,100,0,100,100,100,0,100,0,100,100,100,100,0,100,0,0,100,100,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,0,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,100,0,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,0,100,0,0,0,100,0}
937.38; 201; 56.2189; 49.6117; {0,100,0,100,0,0,100,100,0,100,100,0,100,0,0,100,100,100,0,100,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,100,0,100,0,100,100,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,100,0,100,0,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,0,100,0,0,0,100,0,100,100,0,100,0,100}
938.4; 196; 55.6122; 49.684; {0,100,0,100,0,0,100,100,0,100,100,0,100,0,100,100,100,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,0,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,0,100,0,100,0,100,0,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,0,100,0,0,0,100,0,100,100,0,100,0,100,0,100,100}
939.42; 196; 55.102; 49.739; {0,100,0,100,0,0,100,100,0,100,100,0,100,0,100,100,100,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,0,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,100,0,100,100,100,100,0,0,0,100,0,0,100,100,100,100,0,0,0,100,100,100,100,100,0,100,100,0,100,0,100,0,0,0,0,0,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,0,100,0,100,100,0,0,100,0,100,100,0,100,100,0,100,0}
940.44; 192; 55.2083; 49.728; {0,100,0,100,0,100,100,0,100,100,0,100,0,100,100,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,0,100,0,100,100,100,0,100,100,100,100,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,0,100,100,100,100,0,0,0,100,0,0,100,100,100,100,0,0,100,100,100,100,100,0,100,100,0,0,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,0,100,0,100,100,0,0,100,0,100,100,0,100,100,0,100,0,0,100,100,0,0,100,0}
941.46; 193; 55.4404; 49.7031; {0,100,0,100,0,100,100,0,100,100,0,100,0,100,100,0,100,100,0,100,0,100,100,0,100,0,100,100,0,0,100,0,0,100,0,100,0,100,0,100,0,100,100,100,100,0,100,100,0,100,100,100,100,0,0,0,100,100,100,0,100,0,100,0,0,0,100,0,100,0,0,100,0,100,100,0,100,100,100,100,0,100,0,0,0,100,0,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,0,0,100,0,0,100,0,100,100,100,100,0,0,100,0,0,100,100,100,100,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,100,100,100,0,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,0,100,100,0,0,0,100,0,100,100,0,0,100,0,100,100,0,100,100,0,100,0,0,100,100,0,0,100,0,100,0,0,0,100,100,100,100}
