time; n; mu_gfp; std_gfp; rawData_gfp 
60.18; 61; 40.9836; 49.1803; {0,0,0,0,0,100,100,100,100,0,100,0,0,100,100,0,0,0,0,0,0,0,100,100,0,100,0,0,0,100,100,0,100,0,0,100,100,100,0,100,100,0,0,0,100,0,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
61.2; 57; 43.8596; 49.6215; {0,0,0,0,0,100,100,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,100,0,0,100,100,100,0,100,100,0,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
62.22; 55; 43.6364; 49.5934; {0,0,0,0,0,100,100,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,100,0,0,100,100,100,0,100,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
63.24; 54; 44.4444; 49.6904; {0,0,0,0,0,100,100,100,100,100,0,0,100,100,0,0,0,0,0,0,100,100,0,100,0,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
64.26; 51; 45.098; 49.7591; {0,0,0,0,0,100,100,100,100,0,0,100,100,0,0,0,0,100,100,0,100,0,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
65.28; 49; 46.9388; 49.9062; {0,0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,0,100,0,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
66.3; 47; 48.9362; 49.9887; {0,0,0,0,100,100,100,100,0,100,100,0,0,0,100,100,100,0,0,100,100,0,100,0,100,100,100,0,100,0,0,100,100,0,0,0,100,0,0,0,0,100,0,100,0,100,100}
67.32; 44; 47.7273; 49.9483; {0,0,0,0,100,100,100,100,0,100,0,0,0,100,100,100,0,0,100,0,100,0,100,100,100,0,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,0,0}
68.34; 44; 52.2727; 49.9483; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,0,0,100,100,0,0}
69.36; 48; 54.1667; 49.8261; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,0,0,100,100,0,0,100,100,100,0}
70.38; 47; 57.4468; 49.4423; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,0,100,100,0,0,100,100,100,100,100}
71.4; 50; 60; 48.9898; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,0,100,100,0,0,100,100,100,100,100,100,100,100}
72.42; 50; 60; 48.9898; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0}
73.44; 53; 58.4906; 49.2738; {0,0,0,100,100,100,100,0,100,0,0,100,100,100,0,0,100,0,100,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0,100,0,0}
74.46; 58; 56.8966; 49.5221; {0,0,0,100,100,100,100,100,0,0,100,100,100,0,0,100,0,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,100,0,100,0,0,100,0,100,0,0,100,0}
75.48; 58; 53.4483; 49.881; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,100,100,0,100,100,100,100,100,100,100,0,0,100,0,0,100,0,100,0,0,0,0,0,100}
76.5; 58; 51.7241; 49.9703; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,100,0,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,100,0,0,100,0,0,100,0,100,0,0,0,0,0,100,100,0}
77.52; 56; 51.7857; 49.9681; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,100}
78.54; 56; 51.7857; 49.9681; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,100,0,100,0,0,0,0,100,100,0,100,100}
79.56; 56; 50; 50; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,0,100,100,0}
80.58; 55; 50.9091; 49.9917; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,100,0}
81.6; 53; 50.9434; 49.9911; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0}
82.62; 53; 50.9434; 49.9911; {0,0,0,100,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0}
83.64; 52; 50; 50; {0,0,0,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,100,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0}
84.66; 55; 50.9091; 49.9917; {0,0,0,100,100,100,100,0,0,100,100,0,0,100,0,100,100,100,0,0,100,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0,100,100,0,100}
85.68; 54; 50; 50; {0,0,0,100,100,100,100,0,0,100,100,0,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,100,0,0,0,100,0,0,0,0,100,100,100,0,100,100,0,100,100,0}
86.7; 53; 47.1698; 49.9198; {0,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,0,0,0,100,0,0,0,0,100,100,100,0,100,100,0,100,100,0,0}
87.72; 56; 48.2143; 49.9681; {0,0,0,100,100,100,100,0,0,100,0,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0,100,100,0,0,100,100,100,0,0}
88.74; 56; 50; 50; {0,0,0,100,100,100,0,0,100,0,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0,100,100,0,0,100,100,100,0,100,100}
89.76; 58; 53.4483; 49.881; {0,0,100,100,100,0,0,100,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,0,100,100,100,100,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0}
90.78; 58; 51.7241; 49.9703; {0,0,100,100,100,0,0,100,0,100,0,100,100,0,0,0,0,0,100,0,100,100,100,100,100,100,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,0,100,100,100,0,100,100,100,100,0,100,0,0,0}
91.8; 60; 51.6667; 49.9722; {0,0,100,100,100,0,0,100,0,100,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,100,100,100,0,100,100,100,100,0,100,0,0,0,100,0,0,100}
92.82; 67; 46.2687; 49.8606; {0,0,100,100,100,0,0,100,0,100,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,100,100,100,0,100,100,100,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0}
93.84; 69; 46.3768; 49.8686; {0,0,100,100,100,0,0,100,0,100,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,100,100,100,0,100,100,100,100,0,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,100,0}
94.86; 67; 47.7612; 49.9498; {0,0,100,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,0,100,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,0,0,100,0,0,0,0,0,0,0,100,0,100}
95.88; 66; 48.4848; 49.977; {0,0,100,100,100,0,0,100,0,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100,100,0}
96.9; 64; 48.4375; 49.9756; {0,0,100,100,100,0,0,100,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100,100,0}
97.92; 63; 47.619; 49.9433; {0,0,100,100,100,0,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,100,100,0,0}
98.94; 61; 47.541; 49.9395; {0,0,100,100,100,0,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0}
99.96; 60; 46.6667; 49.8888; {0,0,100,100,100,0,0,100,0,100,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0}
100.98; 59; 49.1525; 49.9928; {0,0,100,100,100,0,0,100,0,100,0,0,0,0,100,100,100,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100}
102; 58; 48.2759; 49.9703; {0,0,100,100,100,0,0,100,0,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,100}
103.02; 61; 49.1803; 49.9933; {0,0,100,100,100,0,0,0,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0}
104.04; 64; 51.5625; 49.9756; {0,0,100,100,100,0,0,0,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,100}
105.06; 66; 53.0303; 49.9081; {0,0,100,100,100,0,0,0,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100}
106.08; 71; 54.9296; 49.7564; {0,0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,100,0,100,0}
107.1; 74; 54.0541; 49.8354; {0,0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100}
108.12; 77; 53.2468; 49.8945; {0,0,100,100,100,0,0,0,100,0,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100,100,100,100,0,100,100,100,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,100,100,100,100,0,100,0,100,100,100,100,100,100,0,100,0,100,0,0,100,100,100,0,100,0}
