time; n; mu_cfp; std_cfp; rawData_cfp 
75.48; 19; 26.3158; 44.0347; {100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,100,100,0,0}
76.5; 18; 27.7778; 44.7903; {100,0,0,0,100,0,0,0,100,0,0,0,0,0,100,100,0,0}
77.52; 19; 31.5789; 46.483; {100,0,0,0,100,0,0,0,100,0,0,0,0,0,100,100,0,0,100}
78.54; 18; 33.3333; 47.1405; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,100,0,0,100}
79.56; 18; 27.7778; 44.7903; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,0}
80.58; 18; 27.7778; 44.7903; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,0}
81.6; 18; 27.7778; 44.7903; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,0}
82.62; 18; 27.7778; 44.7903; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,100,0}
83.64; 17; 23.5294; 42.4182; {100,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0}
84.66; 16; 18.75; 39.0312; {100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0}
85.68; 16; 18.75; 39.0312; {100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0}
86.7; 16; 18.75; 39.0312; {100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0}
87.72; 19; 15.7895; 36.4642; {100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0}
88.74; 20; 15; 35.7071; {100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0}
89.76; 19; 10.5263; 30.6892; {0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0}
90.78; 19; 10.5263; 30.6892; {0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0}
91.8; 20; 10; 30; {0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100}
92.82; 21; 9.52381; 29.3544; {0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0}
93.84; 23; 8.69565; 28.1771; {0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0}
94.86; 23; 8.69565; 28.1771; {0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
95.88; 21; 4.7619; 21.2959; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
96.9; 21; 4.7619; 21.2959; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
97.92; 21; 4.7619; 21.2959; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
98.94; 21; 4.7619; 21.2959; {0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0}
99.96; 21; 4.7619; 21.2959; {0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0}
100.98; 19; 5.26316; 22.3297; {0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
102; 18; 5.55556; 22.9061; {0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0}
103.02; 17; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
104.04; 17; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
105.06; 17; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
106.08; 17; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
107.1; 17; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
108.12; 18; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
109.14; 18; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
110.16; 19; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
111.18; 18; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
112.2; 21; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
113.22; 22; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
114.24; 21; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
115.26; 22; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
116.28; 21; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
117.3; 19; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
118.32; 19; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
119.34; 20; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
120.36; 20; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
121.38; 20; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
122.4; 21; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
123.42; 23; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
124.44; 24; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
125.46; 23; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
126.48; 25; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
127.5; 25; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
128.52; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
129.54; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
130.56; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
131.58; 30; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
132.6; 30; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
133.62; 30; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
134.64; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
135.66; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
136.68; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
137.7; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
138.72; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
139.74; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
140.76; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
141.78; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
142.8; 30; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
143.82; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
144.84; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
145.86; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
146.88; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
147.9; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
148.92; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
149.94; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
150.96; 28; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
151.98; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
153; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
154.02; 25; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
155.04; 25; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
156.06; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
157.08; 27; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
158.1; 24; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
159.12; 24; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
160.14; 26; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
161.16; 29; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
162.18; 30; 0; 0; {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}
