time; n; mu_gfp; std_gfp; rawData_gfp 
57.12; 11; 63.6364; 48.1046; {0,100,100,100,100,0,100,100,100,0,0}
58.14; 11; 63.6364; 48.1046; {0,100,100,100,100,0,100,100,100,0,0}
59.16; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
60.18; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
61.2; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
62.22; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
63.24; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
64.26; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
65.28; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
66.3; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
67.32; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
68.34; 13; 69.2308; 46.1538; {0,100,100,100,100,0,100,100,100,0,0,100,100}
69.36; 12; 66.6667; 47.1405; {0,100,100,100,100,0,100,100,100,0,0,100}
70.38; 13; 69.2308; 46.1538; {0,100,100,100,100,0,100,100,100,0,0,100,100}
71.4; 13; 69.2308; 46.1538; {0,100,100,100,100,0,100,100,100,0,0,100,100}
72.42; 15; 73.3333; 44.2217; {0,100,100,100,100,0,100,100,100,0,0,100,100,100,100}
73.44; 15; 80; 40; {0,100,100,100,100,0,100,100,100,0,100,100,100,100,100}
74.46; 17; 70.5882; 45.5645; {0,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0}
75.48; 19; 73.6842; 44.0347; {0,100,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,100,100}
76.5; 18; 72.2222; 44.7903; {0,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,100,100}
77.52; 19; 68.4211; 46.483; {0,100,100,100,0,100,100,100,0,100,100,100,100,100,0,0,100,100,0}
78.54; 18; 66.6667; 47.1405; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,0,100,100,0}
79.56; 18; 72.2222; 44.7903; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,0,100}
80.58; 18; 72.2222; 44.7903; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,0,100}
81.6; 18; 72.2222; 44.7903; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,0,100}
82.62; 18; 72.2222; 44.7903; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,0,100}
83.64; 17; 76.4706; 42.4182; {0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,100}
84.66; 16; 81.25; 39.0312; {0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100}
85.68; 16; 81.25; 39.0312; {0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100}
86.7; 16; 81.25; 39.0312; {0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100}
87.72; 19; 84.2105; 36.4642; {0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100}
88.74; 20; 85; 35.7071; {0,100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100}
89.76; 19; 89.4737; 30.6892; {100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100}
90.78; 19; 89.4737; 30.6892; {100,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,100,100,100}
91.8; 20; 90; 30; {100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0}
92.82; 21; 90.4762; 29.3544; {100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100}
93.84; 23; 91.3043; 28.1771; {100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100}
94.86; 23; 91.3043; 28.1771; {100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
95.88; 21; 95.2381; 21.2959; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
96.9; 21; 95.2381; 21.2959; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
97.92; 21; 95.2381; 21.2959; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
98.94; 21; 95.2381; 21.2959; {100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100}
99.96; 21; 95.2381; 21.2959; {100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100}
100.98; 19; 94.7368; 22.3297; {100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
102; 18; 94.4444; 22.9061; {100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100}
103.02; 17; 100; 0; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
104.04; 17; 100; 0; {100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100}
